Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zwrot,Beta
2005-01-03,56.8084,58.8612,56.8084,58.2476,376792.31101227,,
2005-01-04,57.4235,58.0435,57.2176,57.8319,159300.77662095,-0.007136774734066265,
2005-01-05,57.2176,57.6333,55.78,55.78,429800.89382889,-0.035480418246676915,
2005-01-06,55.5742,56.8084,55.1601,55.1601,377216.00305965,-0.011113302258874191,
2005-01-07,55.1601,56.1893,54.9551,55.1601,273211.9940843,0.0,
2005-01-10,54.7494,55.78,54.7494,55.3692,396838.39586213,0.003790783555504884,
2005-01-11,55.3692,56.1893,54.5442,54.7494,327537.49107157,-0.011193948982466728,
2005-01-12,54.7494,55.9843,54.5442,55.1601,78326.040946002,0.007501452070707515,
2005-01-13,55.9843,56.1893,54.9551,55.1601,324964.3671464,0.0,
2005-01-14,55.1601,55.9843,55.1601,55.9843,107911.39119008,0.014941959858665976,
2005-01-17,56.3943,56.3943,55.5742,55.9843,153922.86089675,0.0,
2005-01-18,55.5742,55.5742,53.7193,54.3352,247968.86789305,-0.029456472618216156,
2005-01-19,53.7193,54.3352,52.4835,53.105,587396.99133523,-0.022640939943167626,
2005-01-20,52.2793,54.5442,52.2793,53.7193,249148.26797815,0.011567648997269586,
2005-01-21,53.5159,53.5159,52.6925,53.3076,42504.24109225,-0.007663912225215119,
2005-01-24,52.4835,52.8944,52.2793,52.8944,576564.35021743,-0.007751239973287194,
2005-01-25,52.8944,53.93,52.6925,53.5159,654013.27429341,0.011749826068544245,
2005-01-26,53.5159,53.93,52.6925,52.8944,216294.79018733,-0.01161337097946602,
2005-01-27,53.105,53.93,52.4835,52.6925,630863.83102635,-0.0038170392328865654,
2005-01-28,52.8944,54.1293,52.6925,54.1293,322307.00035801,0.027267637709351478,
2005-01-31,54.3352,55.1601,53.5159,54.9551,366945.80694042,0.015256062797782466,
2005-02-01,54.9551,55.9843,54.7494,55.9843,448227.78129299,0.018728016144088366,
2005-02-02,55.5742,55.78,55.1601,55.1601,242470.78220219,-0.014721984556384515,
2005-02-03,55.1601,56.3943,55.1601,55.5742,313346.28521562,0.007507238021685847,
2005-02-04,55.78,56.3943,55.1601,56.1893,412750.38608594,0.011068085550489437,
2005-02-07,56.5978,57.6333,55.5742,57.6333,385468.08705847,0.025698843018154616,
2005-02-08,57.6333,57.6333,57.0126,57.4235,230004.07731102,-0.00364025658777134,
2005-02-09,56.3943,57.2176,56.1893,56.3943,87368.521220342,-0.017922975785174988,
2005-02-10,55.5742,57.6333,55.5742,57.6333,467879.90687073,0.02197030550959922,
2005-02-11,57.4235,57.4235,56.5978,56.5978,385558.52424987,-0.017967043358613877,
2005-02-14,56.3943,57.6333,55.9843,56.1893,182719.05373094,-0.007217595030195478,
2005-02-15,55.78,57.2176,55.5742,57.2176,304699.00307904,0.01830063730995035,
2005-02-16,57.0126,60.5167,56.8084,58.6569,1431973.8165643,0.0251548474595229,
2005-02-17,59.0717,60.7201,58.8612,60.1002,1225850.1132453,0.024605800852073756,
2005-02-18,59.2768,62.1601,59.2768,59.2768,668422.52050123,-0.013700453575861582,
2005-02-21,58.6569,61.5394,58.6569,60.9258,461716.55033355,0.027818640682357954,
2005-02-22,60.9258,60.9258,59.2768,59.4818,712726.83336203,-0.023700960840891794,
2005-02-23,58.0435,58.6569,57.8319,58.6569,384329.56953934,-0.013868107555588427,
2005-02-24,59.4818,59.6869,58.8612,59.4818,746253.01519299,0.014063136647180396,
2005-02-25,60.9258,61.5394,59.2768,61.5394,877529.41227073,0.03459209371606109,
2005-02-28,61.7509,61.7509,59.6869,60.5167,265977.01877232,-0.01661862156602112,
2005-03-01,60.1002,60.306,58.6569,60.1002,469370.26223037,-0.006882397751364455,
2005-03-02,58.8612,59.6869,58.4519,58.4519,255088.62870091,-0.027425865471329525,
2005-03-03,57.4235,59.4818,57.4235,59.0717,201541.13933281,0.010603590302453725,
2005-03-04,59.6869,60.1002,59.2768,59.6869,360994.29642693,0.0104144624244773,
2005-03-07,60.1002,60.306,59.0717,60.1002,749205.23200265,0.006924467512971821,
2005-03-08,60.1002,60.5167,59.0717,59.6869,223269.60371583,-0.006876848995510776,
2005-03-09,59.2768,60.306,58.8612,59.2768,742787.90801018,-0.006870854408588811,
2005-03-10,59.0717,59.0717,58.2476,58.8612,451560.32985279,-0.007011174692291178,
2005-03-11,58.4519,58.4519,56.5978,56.5978,278147.63477658,-0.03845317458699449,
2005-03-14,57.4235,57.8319,56.1893,56.8084,667977.76773804,0.003720992688761804,
2005-03-15,56.8084,57.4235,56.1893,56.5978,260787.41062473,-0.0037071982312474328,
2005-03-16,55.9843,56.3943,54.3352,55.5742,713218.66301936,-0.01808550862401015,
2005-03-17,55.3692,56.3943,54.9551,55.5742,1316463.2235654,0.0,
2005-03-18,56.3943,57.2176,56.3943,56.3943,539626.33242599,0.014756847601944845,
2005-03-21,56.5978,57.2176,53.93,53.93,700893.18881065,-0.0436976786661063,
2005-03-22,54.3352,55.78,54.3352,55.5742,565643.7496395,0.030487669200815803,
2005-03-23,54.3352,56.1893,53.93,56.1893,423938.58164116,0.011068085550489437,
2005-03-24,56.1893,56.3943,54.9551,54.9551,332968.6780181,-0.021965036047788433,
2005-03-29,55.1601,55.1601,54.1293,54.7494,464964.85603013,-0.0037430556945579063,
2005-03-30,54.5442,55.78,54.3352,54.9551,386005.75474433,0.0037571187994753785,
2005-03-31,55.5742,58.2476,55.5742,57.4235,1420942.9569448,0.044916668334694876,
2005-04-01,57.6333,58.6569,56.1893,56.3943,317271.01154924,-0.017922975785174988,
2005-04-04,56.5978,56.8084,55.78,56.3943,324942.06756496,0.0,
2005-04-05,56.3943,57.4235,55.9843,57.4235,480465.54286292,0.018250071372461374,
